Drug ID	Drug Name	CAS Number	Chemical Name	New Molecular Entity	Drug Interactions	Comparative Efficacy	Highest Development Phase	Indication	Molecular Formula	Mechanism Of Action	Organisation	Pharmacodynamic Characteristics	Route Of Administration	Route Of Elimination	Pharmacokinetic Characteristics	Adverse Events	Therapeutic Class (EphMRA)	Therapeutic Class (WHO)	Synonyms/Brand Names	Antimicrobial Activity	Immunogenicity	Last Significant Update Date	Therapeutic Area	Orphan Designation	License Availability	Brands	On Fastrack	Fastrack country	On PRIME	PRIME country	Biomarkers-Inclusion	Biomarkers-Exclusion	Biomarkers-Outcome Measure	Biomarkers-Safety	Biomarkers-not specified	URL
800033783	PH 797904			Yes			Discontinued (II)	Pain		Undefined mechanism	"Pfizer (Originator), Pfizer (Owner)"		unspecified				N2 (Analgesics)	N02 (Analgesics)	PH797904			14/03/2021	Pain				no		no							https://adis.springer.com/drugs/800033783?userId=52029392&bpIds=3004037004&checksum=d9a1c063dd6f8f54bafa9da8ef128d51fb7920c9-1617045530690-c71953e0bfb00a86572c23749e8f71cdbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035393	ASP 6973						Discontinued (I)	"Osteoarthritis, Back pain"		Undefined mechanism	"Astellas Pharma (Originator), Astellas Pharma (Owner)"		PO				"M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2 (Analgesics)"	"M01 (Antiinflammatory and Antirheumatic Products), N02 (Analgesics)"	ASP6973			14/03/2021	"Musculoskeletal Disorders, Pain, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800035393?userId=52029392&bpIds=3004037004&checksum=054d9c270f8fae30ee5bf733e6840813e50a6937-1617045530691-a61a721f7c7b90f9f31aae95c46904cebadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800033182	KHK 6188			Yes			Discontinued (II)	Neuropathic pain		Cannabinoid receptor CB2 agonists	"Kyowa Hakko Kirin (Originator), Kyowa Kirin (Owner)"		PO				N2 (Analgesics)	N02 (Analgesics)	KHK6188			14/03/2021	Pain				no		no							https://adis.springer.com/drugs/800033182?userId=52029392&bpIds=3004037004&checksum=e90f81ea4237de14f3b844285bec8cccb5d7e11f-1617045530692-5ae8deac65b894820defb13f5189469bbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800024913	TAK 583						Discontinued (II)	"Diabetic neuropathies, Postherpetic neuralgia"		Undefined mechanism	"Takeda (Originator), Takeda (Owner)"		PO				"A10X (Other Drugs Used in Diabetes), N2 (Analgesics)"	"A10X (Other Drugs Used in Diabetes), N02 (Analgesics)"	TAK583			14/03/2021	"Diabetes, Pain"				no		no				C-peptide			https://adis.springer.com/drugs/800024913?userId=52029392&bpIds=3004037004&checksum=8bf96224ad7a470349de9929c6871e9b3c210110-1617045530693-1b191facb7a582afc6f91c97ad869e69badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035276	ASP 9226			Yes			Discontinued (I)	Neuropathic pain		Undefined mechanism	"Astellas Pharma (Originator), Astellas Pharma (Owner)"		PO				N2 (Analgesics)	N02 (Analgesics)	ASP9226			14/03/2021	Pain				no		no							https://adis.springer.com/drugs/800035276?userId=52029392&bpIds=3004037004&checksum=432b3bd0b68eb9edb97d126e6b001b31f7006237-1617045530693-7f3d7044ac5a1b6959815e058129ffa1badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800025530	PF 4480682						Discontinued (II)	Neuropathic pain		Undefined mechanism	"Pfizer (Originator), Pfizer (Owner)"		unspecified				N2 (Analgesics)	N02 (Analgesics)	PF4480682			14/03/2021	Pain				no		no							https://adis.springer.com/drugs/800025530?userId=52029392&bpIds=3004037004&checksum=9177bc1dbdfbf10930d508dfca65e1f0683f1788-1617045530694-ef7dce9d975f6d459d639a90baaf9903badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035704	Deudextromethorphan - Avanir Pharmaceuticals	1079043-55-2	3-[(<SUP>2</SUP>H<SUB>3</SUB>)methoxy]-17-[(<SUP>2</SUP>H<SUB>3</SUB>)methyl]-ent-morphinan	No			Phase III	"Agitation, Schizophrenia, Neurodegenerative disorders, Impulse control disorders, Brain injuries, Major depressive disorder, Neuropathic pain, Psychiatric disorders"	C18 H19 D6 N O	"Cytochrome P 450 enzyme system inhibitors, KATP channel inhibitors, NMDA receptor antagonists, Norepinephrine plasma membrane transport protein inhibitors, Serotonin plasma membrane transport protein inhibitors, Sigma-1 receptor agonists, Sodium channel antagonists"	"Concert Pharmaceuticals (Originator), Concert Pharmaceuticals (Owner), Avanir Pharmaceuticals (Licensee)"		PO				"N2A (Narcotics), N5A (Antipsychotics), N6A (Anti-Depressants and Mood Stabilisers), N7 (Other CNS Drugs)"	"N02A (Opioids), N05A-X (Other antipsychotics), N06A-X (Other antidepressants), N07 (Other Nervous System Drugs)"	"AVP786, CTP786, dDM, Deudextromethorphan Hydrobromide d6DM/Quinidine Sulfate Q, Deuterated dextromethorphan plus ultra low dose quinidine, Deuterated DM plus ultra low dose quinidine, Deuterateddextromethorphan, DeuteratedDM"			14/03/2021	"Affective Disorders, Anxiety Disorders, Neurological Disorders, Pain, Psychotic Disorders"				yes	USA	no				C3			https://adis.springer.com/drugs/800035704?userId=52029392&bpIds=3004037004&checksum=30f9dcdce79595f5fe2d1d265c98aa61c61dd621-1617045530697-8bd9ee33c1614e67031827aaad9224b9badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800005880	Asimadoline - Tioga Pharmaceuticals	153205-46-0	"Benzeneacetamide, N-[2-(3-hydroxy-1-pyrrolidinyl)-1-phenylethyl]- N-methyl-_-phenyl-, [S-(R*,R*)]-"	Yes			Phase II	"Pruritus, Irritable bowel syndrome, Pain, Postoperative ileus"	C27 H30 N2 O2	Opioid kappa receptor agonists	"Merck KGaA (Originator), Merck KGaA (Owner), Tioga Pharmaceuticals (Licensee), Ono Pharmaceutical (Sub-licensee)"		PO				"A3 (Functional Gastro-Intestinal Disorder Drugs), D11A (Other Dermatological Preparations), M1 (Anti-Inflammatory and Anti-Rheumatic Products), N1B (Anaesthetics, Local), N2A (Narcotics)"	"A03 (Drugs for Functional Gastrointestinal Disorders), D11A-X (Other dermatologicals), M01 (Antiinflammatory and Antirheumatic Products), N01B-B (Amides), N02A (Opioids)"	"EMD61753, EMR 63 320, ONO3951"			14/03/2021	"Digestive System Disorders, Pain, Rheumatic Disease, Skin Disorders"				yes	USA	no							https://adis.springer.com/drugs/800005880?userId=52029392&bpIds=3004037004&checksum=9bfae01af408897c8b780c62337cb9e166d6e4ac-1617045530699-d88c042ca9d2944981cce15edb7f82f5badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800020059	Efipladib	381683-94-9	"Benzoic acid, 4-[3-[5-chloro-2-[2-[[[(3,4-dichlorophenyl)methyl]sulfonyl]amino]ethyl]-1-(diphenylmethyl)-1<EM>H</EM>-indol-3-yl]propyl]-"				Discontinued (II)	"Osteoarthritis, Rheumatoid arthritis, Pain, Asthma"	C40 H35 Cl3 N2 O4 S	Phospholipase A2 inhibitors	"Wyeth (Originator), Pfizer (Owner)"		unspecified				"M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2B (Non-Narcotics and Anti-Pyretics), R3 (Anti-Asthma and COPD Products)"	"M01 (Antiinflammatory and Antirheumatic Products), N02B (Other Analgesics and Antipyretics), R03 (Drugs for Obstructive Airway Diseases)"	PLA902			14/03/2021	"Obstructive Airways Disease, Pain, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800020059?userId=52029392&bpIds=3004037004&checksum=fd99742803f7d5fb7f9f74d92fa423bd0ce9e91c-1617045530700-d1d7bac731687b83860297fae41c9b02badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800044114	VX 150			Yes			Phase II	Pain		Nav1.8 voltage-gated sodium channel inhibitors	"Vertex Pharmaceuticals (Originator), Vertex Pharmaceuticals (Owner)"		PO				N2B (Non-Narcotics and Anti-Pyretics)	N02B (Other Analgesics and Antipyretics)	VX150			14/03/2021	"Drug Delivery Systems, Pain, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800044114?userId=52029392&bpIds=3004037004&checksum=313665ea92838f5a4ba684aca57d6af08f972545-1617045530701-49165d38b5b29a81ec672aa3e180cc4cbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035775	LY 3016859			Yes			Phase II	"Pain, Neuropathic pain, Back pain, Diabetic nephropathies"		"Epidermal growth factor inhibitors, Transforming growth factor alpha inhibitors"	"Eli Lilly and Company (Originator), Eli Lilly and Company (Owner)"		"IV, SC"				"A10 (Drugs Used in Diabetes), G4X (All Other Urological Products), N2B (Non-Narcotics and Anti-Pyretics)"	"A10 (Drugs Used in Diabetes), G04 (Urologicals), N02B (Other Analgesics and Antipyretics)"	"LY3016859, TGFalpha/epiregulin monoclonal antibody"			14/03/2021	"Diabetes, Pain, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800035775?userId=52029392&bpIds=3004037004&checksum=b472c9e3c4621a6df66e20ec846319263c3bf842-1617045530702-7eef5209b88a4ffe3160be5149bc622abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800009946	Perzinfotel	144912-63-0	"[2-(8,9-Dioxo-2,6-diazabicyclo[5.2.0]non-1(7)-en-2-yl)-ethy]phosphonic acid"				Discontinued (II)	"Pain, Neuropathic pain, Stroke"	C9 H13 N2 O5 P	NMDA receptor antagonists	"Wyeth (Originator), Pfizer (Owner)"		IV				"N2B (Non-Narcotics and Anti-Pyretics), N7 (Other CNS Drugs)"	"N02B (Other Analgesics and Antipyretics), N07X (Other Nervous System Drugs)"	"EAA090, WAY126090"			14/03/2021	"Neurological Disorders, Pain"				no		no							https://adis.springer.com/drugs/800009946?userId=52029392&bpIds=3004037004&checksum=932befc6650323dd8de88df3be3802932cde60b1-1617045530703-1442062f6791746f3e43de6f5f981323badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035929	Eptinezumab - Lundbeck Seattle BioPharmaceuticals	1644539-04-7	"Immunoglobulin G1, anti-(calcitonin gene-related peptide) (human-oryctolagus cuniculus monoclonal ALD403 heavy chain), disulfide with human-oryctolagus cuniculus monoclonal ALD403 kappa-chain, dimer"	Yes			Marketed	"Migraine, Cluster headache"	C6352 H9838 N1694 O1992 S46	Calcitonin gene-related peptide antagonists	"Alder Biopharmaceuticals (Originator), Lundbeck Seattle BioPharmaceuticals Inc. (Owner), Teva Pharmaceuticals USA (Collaborator)"		"IV, IM, SC"				N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	"ALD403, Eptinezumabjjmr, VYEPTI"			14/03/2021	Advances in the Treatment of Nausea and Migraine			VYEPTI	no		no							https://adis.springer.com/drugs/800035929?userId=52029392&bpIds=3004037004&checksum=6c0173ce8626f1f5b9d507a829fd34483830a85c-1617045530706-255f2640583c772a245c1fe7e9f01c40badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800002911	Zolmitriptan - AstraZeneca/Burroughs Wellcome	139264-17-8	S-4[[3-[2-(Dimethylamino)ethyl]-1H-indol-5-yl]methyl]- 2-oxazolidinone	Yes			Marketed	"Migraine, Cluster headache, Menstrual migraine"	C16 H21 N3 O2	"Serotonin 1B receptor agonists, Serotonin 1D receptor agonists"	"Burroughs Wellcome (Originator), Burroughs Wellcome (Owner), Amneal Pharmaceuticals (Market Licensee), Grunenthal (Market Licensee), Sawai (Market Licensee), AstraZeneca (Licensee)"		"PO, Intranasal"	renal	"Active Metabolites (yes), Activity vs parent (²), Linear Kinetics (yes), Route of Elimination (renal), bioavailability oral (%) (40 - 46 (Adult)), Cl (L/h) (123 - 131 (Adult)), protein binding (%) (14 - 21 (Adult)), T<sub>_beta</sub> (h) (2.5 - 3 (Adult)), T<sub>max</sub> (h) (2 - 4 (Adult)), Vd (L/kg) (5.7 - 7.1 (Adult))"	"Asthenia, Chest pain, Dizziness, Drowsiness, Dysgeusia, Nausea, Pain, Paraesthesia, Somnolence"	N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	"311C, 311C90, AscoTop, BW311C90, Zomig, Zomigon, ZomigZMT"			14/03/2021	"Advances in the Treatment of Nausea and Migraine, Women's Health"			"AscoTop, Zomig, Zomig, Zomig, ZomigZMT, Zomigon, Zomigon"	no		no							https://adis.springer.com/drugs/800002911?userId=52029392&bpIds=3004037004&checksum=39c0a26cc9768c43f2ba97fc1d45cba35877bd2c-1617045530711-2d59a940d885ff9a116d1ad249fdee8abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800002881	Vigabatrin - sanofi-aventis	60643-86-9	4-amino-5-hexenoic acid	Yes			Marketed	"Epilepsy, Infantile spasms, Complex partial epilepsy, Cocaine-related disorders, Substance-related disorders"	C6 H11 N O2	4-aminobutyrate transaminase inhibitors	"sanofi-aventis (Originator), sanofi-aventis (Owner), Alfresa Pharma Corporation (Licensee), AstraZeneca (Licensee), Lundbeck Inc (Licensee), National Institute of Drug Abuse (Collaborator)"		PO	renal	"Dose Modification in Renal Dysfunction (moderate), Route of Elimination (renal), Cl (L/h) (5.5 (Adult)), T<sub>_beta</sub> (h) (7 (Adult)), T<sub>max</sub> (h) (1 (Adult)), Vd (L/kg) (.8 (Adult))"	"Aggression, Agitation, Ataxia, CNS disorders, Confusion, Depression, Diplopia, Dizziness, Drowsiness, Fatigue, Headache, Insomnia, Irritability, Vision disorders, Weight gain"	"N2C (Anti-Migraine Preparations), N3A (Anti-Epileptics), N7 (Other CNS Drugs)"	"N02C-X (Other antimigraine preparations), N03A-G04 (Vigabatrin), N07B (Drugs Used In Addictive Disorders)"	"GammavinylGABA, GVG, gvinylGABA, M071754, MDL 71754, RMI 71754, Sabril, Sabrilex, vinylGABA"			14/03/2021	"Drug Withdrawal, Epilepsy and Seizure Disorders"	"Infantile spasms (USA), Epilepsy (Japan)"		"Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabril, Sabrilex, Sabrilex"	yes	USA	no				"Benzoyl ecgonine, Taurine"			https://adis.springer.com/drugs/800002881?userId=52029392&bpIds=3004037004&checksum=01108effc8362e27aa12729ddbf6ec938f072345-1617045530716-dc6db68b18b0e6654deafa7f55036f0bbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800002416	Topiramate - Janssen	97240-79-4	"2,3:4,5-bis-O-(1-Methylethylidene)-_- D-fructopyranose 1-sulfamic acid ester"	Yes			Marketed	"Epilepsy, Migraine, Lennox-Gastaut syndrome, Obesity, Post-traumatic stress disorders, Diabetic neuropathies, Bipolar disorders"	C12 H21 N O8 S	"AMPA receptor antagonists, Carbonic anhydrase inhibitors, GABA-A receptor antagonists, Kainic acid receptor antagonists, Sodium channel antagonists, GABA A receptor agonists"	"Johnson & Johnson Pharmaceutical Research & Development (Originator), Johnson & Johnson Pharmaceutical Research & Development (Owner), Janssen-Cilag (Market Licensee), m8 Pharmaceuticals (Market Licensee), Ortho-McNeil (Market Licensee), Xian-Janssen (Market Licensee), Janssen Inc (Licensee), Kyowa Kirin (Licensee)"		PO	renal	"Route of Elimination (renal), Cl (L/h) (1.32 - 2.16 (Adult)), T<sub>_beta</sub> (h) (19 - 23 (Adult)), T<sub>max</sub> (h) (1.8 - 4.3 (Adult)), Vd (L/kg) (.6 - .8 (Adult))"	"Anorexia, Anxiety, Appetite disorders, Cognition disorders, Confusion, Diarrhoea, Dizziness, Fatigue, Headache, Irritability, Liver disorders, Memory disorders, Nausea, Paraesthesia, Renal calculi, Respiratory tract infections, Sleep disorders, Somnolence, Taste disorders, Tremor, Weight loss"	"A10X (Other Drugs Used in Diabetes), N2C (Anti-Migraine Preparations), N3A (Anti-Epileptics), N5B (Hypnotics/Sedatives), N6A (Anti-Depressants and Mood Stabilisers), N7E (Drugs Used In Alcohol Dependence)"	"A10X (Other Drugs Used in Diabetes), N02C-X (Other antimigraine preparations), N03A-X11 (Topiramate), N05B-X (Other anxiolytics), N06A (Antidepressants), N07B-B (Drugs used in alcohol dependence)"	"Epitomax, KW6485, KW6485P, MCN 4853, RWJ 17021, Topamax, Topamax Migraine, Topimax, Topina, Topina fine granules"			14/03/2021	"Advances in the Treatment of Nausea and Migraine, Affective Disorders, Anxiety Disorders, Diabetes, Epilepsy and Seizure Disorders, Obesity"			"Epitomax, Topamax, Topamax, Topamax Migraine, Topimax, Topina, Topina fine granules"	no		no		"A1C, citrate lyase beta like"	"A1C, citrate lyase beta like, ER alpha"	"24,25-Dihydroxyvitamin D, A1C, Alkaline phosphatase, Benzoyl ecgonine, centrin 1, citrate lyase beta like, CRP, CTx, Cytokeratin 5, Deoxyadenosine monophosphate, dopamine receptor D2, EH domain containing 4, IGF1, Insulin, iodothyronine deiodinase 3, Leptin, MDR1, OPRM1, Osteocalcin, peptidylprolyl isomerase G, period circadian clock 2, PGE2, PTH, S100B, sodium channel, voltage gated, type I alpha subunit, spermine synthase, Valproic acid glucuronide"	Leptin	"ATP-binding cassette, sub-family B (MDR/TAP), member 7, GAST, Ghrelin, Orotic acid, TPMT, Urea, Uric acid"	https://adis.springer.com/drugs/800002416?userId=52029392&bpIds=3004037004&checksum=222727abd8bf2c76ef824c2c596936ae7c28f0a2-1617045530724-aa7e1408380c0a11c174ca81a61c05d9badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800024645	Telcagepant	781649-09-0	"<EM>N</EM>-[(3<EM>R</EM>,6<EM>S</EM>)-6-(2,3-difluorophenyl)-2-oxo-1-(2,2,2-trifluoroethyl)hexahydro-1<EM>H</EM>-azepin-3-yl]-4-(2-oxo-2,3-dihydro-1<EM>H</EM>-imidazo[4,5-<EM>b</EM>]pyridin-1-yl)piperidine-1-carboxamide"				Discontinued (III)	"Migraine, Endocrine disorders"	C26 H27 F5 N6 O3	Calcitonin gene-related peptide receptor antagonists	"Merck & Co (Originator), Merck & Co (Owner)"		PO				"N2C9 (All other anti-migraine preparations), V3 (All Other Therapeutic Products)"	"N02C-X (Other antimigraine preparations), V03 (All Other Therapeutic Products)"	"Caprolactamazabenzimidazolone Merck, MK0974, Telcagepant potassium"			14/03/2021	"Advances in the Treatment of Nausea and Migraine, Endocrine Disorders"				no		no				Calreticulin			https://adis.springer.com/drugs/800024645?userId=52029392&bpIds=3004037004&checksum=6b0f38cdbd185f5d8b6d6c87ae1c3df034d94efc-1617045530726-f6562225a44a85326d0de955b0211dafbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800036373	Ubrogepant - AbbVie	1374248-77-7	"(3S)-N-[(3S,5S,6R)-6-methyl-2-oxo-5-phenyl-1-(2,2,2-trifluoroethyl)piperidin-3-yl]-2-oxospiro[1H-pyrrolo[2,3-b]pyridine-3,6'-5,7-dihydrocyclopenta[b]pyridine]-3'-carboxamide"	Yes			Marketed	Migraine	C29 H26 F3 N5 O3	Calcitonin gene-related peptide receptor antagonists	"Merck & Co (Originator), Merck & Co (Owner), AbbVie (Licensee)"		PO			"Diarrhoea, Headache, Nasopharyngitis, Nausea"	N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	"MK1602, UBRELVY"			14/03/2021	Advances in the Treatment of Nausea and Migraine			UBRELVY	no		no							https://adis.springer.com/drugs/800036373?userId=52029392&bpIds=3004037004&checksum=1a578b4d4e4039eb1adf2e86d4e7cb2d2825da12-1617045530727-f1d52e078caac0ac0ac4af92bd8aba44badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800010940	Carisbamate - SK biopharmaceuticals	194085-75-1	(<EM>S</EM>)-2-(2-Chlorophenyl)-2-hydroxyethyl carbamate	Yes			Phase II	"Lennox-Gastaut syndrome, Epilepsy, Diabetic neuropathies, Essential tremor, Migraine, Postherpetic neuralgia"	C9 H10 Cl N O3	Neurotransmitter modulators	"SK biopharmaceuticals (Originator), SK biopharmaceuticals (Owner), Ortho-McNeil Pharmaceutical (Licensee), Janssen Research & Development (Collaborator)"		PO		Linear Kinetics (yes)	"Dizziness, Somnolence"	"A10X (Other Drugs Used in Diabetes), N2C9 (All other anti-migraine preparations), N3A (Anti-Epileptics), N7X (All other CNS drugs)"	"A10X (Other Drugs Used in Diabetes), N02C-X (Other antimigraine preparations), N03A (Antiepileptics), N07X (Other Nervous System Drugs)"	"Comfyde, JNJ10234094, RWJ333369, YKP509"			14/03/2021	"Advances in the Treatment of Nausea and Migraine, Diabetes, Epilepsy and Seizure Disorders, Neurological Disorders, Pain, Parkinson's Disease and Movement Disorders"	Infantile spasms (USA)		Comfyde	no		no							https://adis.springer.com/drugs/800010940?userId=52029392&bpIds=3004037004&checksum=0fea429e63677d9f26e8334cd687fa2cb5dcf6d3-1617045530729-96936a67fdced3a5769f398b2d9285bdbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800013390	Valproate semisodium - Abbott Laboratories	1069-66-5	"Pentanoic acid, 2-propyl-, sodium salt"	Yes			Marketed	"Bipolar disorders, Epilepsy, Migraine, Dementia"	C8 H15 Na O2	"GABA modulators, Enzyme inhibitors, GABA agents, Voltage-gated sodium channel modulators"	"Abbott Laboratories (Originator), AbbVie (Owner), Sanofi (Market Licensee)"		PO		"Cl (L/h) (.57 - .58), T<sub>_beta</sub> (h) (15.2 - 15.3), Vd (L/kg) (.17)"	"Rhinitis, Somnolence, Vomiting, Weight gain"	"N2C9 (All other anti-migraine preparations), N3A (Anti-Epileptics)"	"N02C (Antimigraine Preparations), N03A-G01 (Valproic acid)"	"14CSodium Valproate, Depakote, Depakote ER, Divalproex, Divalproex sodium, Divalproex sodium DR 500mg tablets Abbott Laboratories, Epival, Epival ER, LA40220"			14/03/2021	"Advances in the Treatment of Nausea and Migraine, Affective Disorders, Alzheimer's Disease and Cognition Disorders, Epilepsy and Seizure Disorders"			"Depakote, Depakote ER, Epival, Epival ER"	no		no		"chymase 1, ER alpha, Valproic acid glucuronide"	"All-trans-retinoic acid, ER alpha, Valproic acid glucuronide"	"All-trans-retinoic acid, chymase 1, ER alpha, FSH, gamma-aminobutyric acid type B receptor subunit 1, IGF1, Insulin, limb and CNS expressed 1, Testosterone, Thyroid stimulating hormone, beta, Thyroxine, tumor necrosis factor superfamily member 14, Valproic acid glucuronide"		"Adiponectin, BDNF, CRP, Gamma-Aminobutyric acid, Ghrelin, LAMA2, Leptin, Luteinizing hormone, NELL2, RELA, tenascin C"	https://adis.springer.com/drugs/800013390?userId=52029392&bpIds=3004037004&checksum=11b79e9b4adf0d56917b8486058166d1a477197c-1617045530731-0da31b961a6a2f65d4f940f88ca74c0abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800047515	Atogepant - AbbVie	1374248-81-3	"3'S)-1',2',5,7-Tetrahydro-N-((3S,5S,6R)-6-methyl-2-oxo-1-(2,2,2-trifluoroethyl)-5-(2,3,6-trifluorophenyl)-3-piperidinyl)-2'-oxospiro(6H-cyclopenta(b)pyridine-6,3'-(3H)pyrrolo(2,3-b)pyridine)-3-carboxamide"	Yes			Phase III	Migraine	C29 H23 F6 N5 O3	Calcitonin gene-related peptide receptor antagonists	"Merck AG (Originator), Merck AG (Owner), AbbVie (Licensee)"		PO			"Constipation, Fatigue, Nasopharyngitis, Nausea, Urinary tract infections"	N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	"AGN 241689, MK 8031"			14/03/2021	Advances in the Treatment of Nausea and Migraine				no		no							https://adis.springer.com/drugs/800047515?userId=52029392&bpIds=3004037004&checksum=18fcacc99718223523305cf0dae1a0f7c66a0692-1617045530733-7dda9bf854e6a56cde6679436f074f14badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800040986	Felbinac tape	5728-52-9	"(1,1'-Biphenyl)-4-acetic acid"	No			Marketed	"Inflammation, Pain"	C14 H12 O2	Cyclooxygenase inhibitors	"Pfizer Japan (Originator), Teikoku Seiyaku (Originator), Pfizer Japan (Owner), Teikoku Seiyaku (Owner)"		Transdermal				"M1A (Anti-Rheumatics, Non-Steroidal), N2 (Analgesics)"	"M01A-B (Acetic acid derivatives and related substances), N02 (Analgesics)"	"Felbinac transdermal, SELTOUCH, SELTOUCH TAPE 70"			14/03/2021	"Drug Delivery Systems, Inflammation, Pain"			"SELTOUCH, SELTOUCH, SELTOUCH, SELTOUCH"	no		no							https://adis.springer.com/drugs/800040986?userId=52029392&bpIds=3004037004&checksum=61e2800ac4d7ebf3d5c6b7be9447563363daa540-1617045530735-4fb32a76d6e97a69b3fb2d88793844e9badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800029648	AZD 2516						Discontinued (II)	"Gastro-oesophageal reflux, Neuropathic pain"		Metabotropic glutamate receptor 5 antagonists	"AstraZeneca (Originator), AstraZeneca (Owner)"		PO				"A2B (Antiulcerants), N2 (Analgesics)"	"A02B (Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (GORD)), N02 (Analgesics)"	AZD2516			14/03/2021	"Pain, Peptic Ulcer Disease"				no		no							https://adis.springer.com/drugs/800029648?userId=52029392&bpIds=3004037004&checksum=f319655a0903bfb2f78d1fc2a9e94f8ac3389b34-1617045530736-09c5a47e1f7438532ff95e2e59408232badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035078	ABT 639			Yes			Discontinued (II)	Diabetic neuropathies		T type calcium channel antagonists	"Abbott Laboratories (Originator), AbbVie (Owner)"		PO				N2 (Analgesics)	N02 (Analgesics)	ABT639			14/03/2021	Pain				no		no							https://adis.springer.com/drugs/800035078?userId=52029392&bpIds=3004037004&checksum=cc32a41811a9a44799f00c51ef1f53500b43d7c7-1617045530737-6535ba6de553b747bfd74ae3e78e4208badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800024886	GRC 6211			No			No development reported (I)	"Pain, Urinary incontinence, Dental pain, Neuropathic pain, Osteoarthritis"		TRPV1 receptor antagonists	"Glenmark Pharmaceuticals Ltd (Originator), Glenmark Pharmaceuticals Ltd (Owner)"		PO				"G4 (Urologicals), M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2 (Analgesics)"	"G04 (Urologicals), M01 (Antiinflammatory and Antirheumatic Products), N02 (Analgesics)"	GRC6211			14/03/2021	"Genitourinary Disorders, Pain, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800024886?userId=52029392&bpIds=3004037004&checksum=c5ab0d446f77b81f788fb27b6c1a4666721628d6-1617045530738-6104cafefeb446c31dadb1583335c9d7badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
